Date,TeamA,TeamB,RealA,RealB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2024-06-14,Germany,Scotland,5,1,European Championship,Germany,18,-18,1938,1752
2024-06-15,Switzerland,Hungary,3,1,European Championship,Germany,40,-40,1845,1792
2024-06-15,Spain,Croatia,3,0,European Championship,Germany,37,-37,2057,1932
2024-06-15,Italy,Albania,2,1,European Championship,Germany,7,-7,1956,1616
2024-06-16,Netherlands,Poland,2,1,European Championship,Germany,11,-11,1986,1735
2024-06-16,England,Serbia,1,0,European Championship,Germany,13,-13,1994,1788
2024-06-16,Denmark,Slovenia,1,1,European Championship,Germany,-7,7,1827,1740
2024-06-17,Slovakia,Belgium,1,0,European Championship,Germany,43,-43,1714,1945
2024-06-17,Romania,Ukraine,3,0,European Championship,Germany,67,-67,1714,1786
2024-06-17,France,Austria,1,0,European Championship,Germany,11,-11,2088,1852
2024-06-18,Turkey,Georgia,3,1,European Championship,Germany,29,-29,1778,1637
2024-06-18,Portugal,Czechia,2,1,European Championship,Germany,11,-11,2013,1766
2024-06-19,Scotland,Switzerland,1,1,European Championship,Germany,7,-7,1759,1838
2024-06-19,Germany,Hungary,2,0,European Championship,Germany,15,-15,1953,1777
2024-06-19,Albania,Croatia,2,2,European Championship,Germany,18,-18,1634,1914
2024-06-20,Spain,Italy,1,0,European Championship,Germany,18,-18,2075,1938
2024-06-20,Serbia,Slovenia,1,1,European Championship,Germany,-3,3,1785,1743
2024-06-20,Denmark,England,1,1,European Championship,Germany,11,-11,1838,1983
2024-06-21,Ukraine,Slovakia,2,1,European Championship,Germany,20,-20,1806,1694
2024-06-21,France,Netherlands,0,0,European Championship,Germany,-7,7,2081,1993
2024-06-21,Austria,Poland,3,1,European Championship,Germany,25,-25,1877,1710
2024-06-22,Portugal,Turkey,3,0,European Championship,Germany,18,-18,2031,1760
2024-06-22,Czechia,Georgia,1,1,European Championship,Germany,-9,9,1757,1646
2024-06-22,Belgium,Romania,2,0,European Championship,Germany,16,-16,1961,1698
2024-06-23,Hungary,Scotland,1,0,European Championship,Germany,24,-24,1801,1735
2024-06-23,Germany,Switzerland,1,1,European Championship,Germany,-14,14,1939,1852
2024-06-24,Spain,Albania,1,0,European Championship,Germany,4,-4,2079,1630
2024-06-24,Croatia,Italy,1,1,European Championship,Germany,2,-2,1916,1936
2024-06-25,France,Poland,1,1,European Championship,Germany,-20,20,2061,1730
2024-06-25,England,Slovenia,0,0,European Championship,Germany,-15,15,1968,1758
2024-06-25,Denmark,Serbia,0,0,European Championship,Germany,-4,4,1834,1789
2024-06-25,Austria,Netherlands,3,2,European Championship,Germany,33,-33,1910,1960
2024-06-26,Turkey,Czechia,2,1,European Championship,Germany,25,-25,1785,1732
2024-06-26,Romania,Slovakia,1,1,European Championship,Germany,0,0,1698,1694
2024-06-26,Georgia,Portugal,2,0,European Championship,Germany,68,-68,1714,1963
2024-06-26,Belgium,Ukraine,0,0,European Championship,Germany,-10,10,1951,1816
