Player Name,Team Name,Nationality,Height,Weight,Age,Foot,Rating,Primary position,Secondary positions,Backup positions,Overall Rating,League,Region,offensive_awareness,ball_control,dribbling,tight_possession,low_pass,lofted_pass,finishing,heading,set_piece_taking,curl,defensive_awareness,tackling,aggression,defensive_engagement,speed,acceleration,kicking_power,jumping,physical_contact,balance,stamina,gk_awareness,gk_catching,gk_parrying,gk_reflexes,gk_reach,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
Berat Djimsiti,Atalanta BC,Albania,190,83,31,Right foot,B,CB,['Centre Back'],"['Left Back', 'Right Back']",77,Italian League,Europe,50,59,54,59,61,61,51,69,53,53,74,74,76,73,67,62,63,71,78,55,72,40,40,40,40,40,Occasionally,High,Standard,Medium
Armando Broja,Everton B,Albania,191,74,23,Right foot,C,CF,['Centre Forward'],"['Right Wing Forward', 'Second Striker']",76,English League,Europe,71,69,69,68,57,53,73,66,58,60,43,43,64,53,74,68,71,66,78,59,68,40,40,40,40,40,Rarely,High,Standard,Low
Elseid Hysaj,S.S. Lazio,Albania,182,75,30,Right foot,C,RB,"['Left Back', 'Right Back']","['Left Midfielder', 'Right Midfielder']",75,Italian League,Europe,59,69,65,66,70,67,53,61,54,56,67,70,70,74,77,74,59,61,65,66,79,40,40,40,40,40,Occasionally,High,Standard,Medium
Marash Kumbulla,Llobregat AB,Albania,191,78,24,Right foot,C,CB,['Centre Back'],[],74,Spanish League,Europe,56,64,59,59,63,61,53,73,52,55,72,72,73,73,64,61,64,70,72,59,67,40,40,40,40,40,Rarely,Medium,Inconsistent,Low
Ernest Muçi,Beşiktaş JK,Albania,180,75,23,Right foot,B,AMF,"['Centre Midfielder', 'Attacking Midfielder']","['Defensive Midfielder', 'Right Midfielder', 'Second Striker', 'Centre Forward']",73,Trendyol Süper Lig,Europe,62,72,69,71,72,71,66,55,67,71,52,57,61,60,73,72,71,57,58,70,68,40,40,40,40,40,Rarely,Medium,Standard,Medium
Kristjan Asllani,Internazionale Milano,Albania,175,63,22,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder', 'Attacking Midfielder']",['Second Striker'],73,Italian League,Europe,61,75,66,71,74,76,60,55,67,70,62,67,75,63,65,70,73,60,61,75,76,40,40,40,40,40,Occasionally,High,Standard,Medium
Ardian Ismajli,Empoli A,Albania,185,80,28,Right foot,C,CB,['Centre Back'],['Right Back'],73,Italian League,Europe,52,60,57,58,63,63,50,67,49,56,71,72,67,72,64,62,67,70,76,58,69,40,40,40,40,40,Almost Never,Medium,Standard,Low
Nedim Bajrami,Rangers FC,Albania,179,68,25,Right foot,C,AMF,"['Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']","['Centre Midfielder', 'Second Striker']",73,Scottish Premiership,Europe,69,75,72,64,72,70,61,52,67,69,52,55,63,56,69,73,71,60,58,67,72,40,40,40,40,40,Occasionally,High,Standard,Medium
Ivan Balliu,Vallecas BR,Albania,172,65,32,Right foot,D,RB,"['Left Back', 'Right Back']","['Centre Back', 'Right Midfielder']",73,Spanish League,Europe,60,69,67,63,69,71,51,53,58,65,63,67,70,64,77,74,63,61,59,69,78,40,40,40,40,40,Almost Never,Low,Standard,Medium
Jasir Asani,Gwangju FC,Albania,175,65,29,Left foot,A,RWF,['Right Wing Forward'],"['Left Midfielder', 'Right Midfielder', 'Left Wing Forward']",72,AFC Champions League Elite™,Europe,61,68,73,66,60,64,66,50,66,71,49,55,61,59,69,77,80,63,61,76,69,40,40,40,40,40,Almost Never,Medium,Standard,Medium
