Date,TeamA,TeamB,ScoreA,ScoreB,Tournament,Location,RatingChangeA,RatingChangeB,NewRatingA,NewRatingB
2024-01-20,United States,Slovenia,0,1,Friendly,United States,-14,14,1762,1724
2024-03-21,Russia,Serbia,4,0,Friendly,Russia,16,-16,1772,1786
2024-03-21,Portugal,Sweden,5,2,Friendly,Portugal,3,-3,2035,1692
2024-03-21,Malta,Slovenia,2,2,Friendly,Malta,8,-8,1258,1716
2024-03-21,Italy,Venezuela,2,1,Friendly,United States,5,-5,1942,1751
2024-03-21,Poland,Estonia,5,1,European Championship qualifier,Poland,5,-5,1715,1358
2024-03-21,Georgia,Luxembourg,2,0,European Championship qualifier,Georgia,13,-13,1651,1507
2024-03-21,Bosnia and Herzegovina,Ukraine,1,2,European Championship qualifier,Bosnia and Herzegovina,-7,7,1478,1857
2024-03-22,Romania,Northern Ireland,1,1,Friendly,Romania,-7,7,1667,1498
2024-03-22,Norway,Czechia,1,2,Friendly,Norway,-13,13,1741,1770
2024-03-22,Netherlands,Scotland,4,0,Friendly,Netherlands,7,-7,1978,1794
2024-03-22,Hungary,Turkey,1,0,Friendly,Hungary,6,-6,1840,1760
2024-03-22,Colombia,Spain,1,0,Friendly,England,11,-11,1996,2022
2024-03-22,Chile,Albania,3,0,Friendly,Italy,14,-14,1714,1617
2024-03-23,Slovakia,Austria,0,2,Friendly,Slovakia,-12,12,1650,1847
2024-03-23,Ireland,Belgium,0,0,Friendly,Ireland,7,-7,1616,1983
2024-03-23,France,Germany,0,2,Friendly,France,-26,26,2084,1912
2024-03-23,England,Brazil,0,1,Friendly,England,-13,13,2002,2025
2024-03-23,Denmark,Switzerland,0,0,Friendly,Denmark,-4,4,1821,1796
2024-03-23,Croatia,Tunisia,0,0,Friendly tournament,Egypt,-10,10,1942,1686
2024-03-24,Italy,Ecuador,2,0,Friendly,United States,13,-13,1955,1873
2024-03-25,Sweden,Albania,1,0,Friendly,Sweden,5,-5,1697,1612
2024-03-25,Cyprus,Serbia,0,1,Friendly,Cyprus,-2,2,1319,1788
2024-03-26,Spain,Brazil,3,3,Friendly,Spain,-3,3,2019,2028
2024-03-26,Slovenia,Portugal,2,0,Friendly,Slovenia,23,-23,1739,2012
2024-03-26,Scotland,Northern Ireland,0,1,Friendly,Scotland,-18,18,1776,1516
2024-03-26,Norway,Slovakia,1,1,Friendly,Norway,-5,5,1736,1655
2024-03-26,Ireland,Switzerland,0,1,Friendly,Ireland,-8,8,1608,1804
2024-03-26,Hungary,Kosovo,2,0,Friendly,Hungary,2,-2,1842,1510
2024-03-26,Germany,Netherlands,2,1,Friendly,Germany,9,-9,1921,1969
2024-03-26,France,Chile,3,2,Friendly,France,1,-1,2085,1713
2024-03-26,England,Belgium,2,2,Friendly,England,-3,3,1999,1986
2024-03-26,Egypt,Croatia,2,4,Friendly tournament,Egypt,-11,11,1637,1953
2024-03-26,Denmark,Faroe Islands,2,0,Friendly,Denmark,1,-1,1822,1269
2024-03-26,Czechia,Armenia,2,1,Friendly,Czechia,2,-2,1772,1456
2024-03-26,Colombia,Romania,3,2,Friendly,Spain,3,-3,1999,1664
2024-03-26,Austria,Turkey,6,1,Friendly,Austria,10,-10,1857,1750
2024-03-26,Wales,Poland,0,0,European Championship qualifier,Wales,-6,6,1710,1721
2024-03-26,Ukraine,Iceland,2,1,European Championship qualifier,Poland,6,-6,1863,1544
2024-03-26,Georgia,Greece,0,0,European Championship qualifier,Georgia,-1,1,1650,1740
2024-06-03,Scotland,Gibraltar,2,0,Friendly,Portugal,0,0,1776,1048
2024-06-03,Germany,Ukraine,0,0,Friendly,Germany,-4,4,1917,1867
2024-06-03,England,Bosnia and Herzegovina,3,0,Friendly,England,1,-1,2000,1477
2024-06-03,Croatia,North Macedonia,3,0,Friendly,Croatia,2,-2,1955,1550
2024-06-03,Albania,Liechtenstein,3,0,Friendly,Hungary,1,-1,1613,958
2024-06-04,Switzerland,Estonia,4,0,Friendly,Switzerland,2,-2,1806,1354
2024-06-04,Slovenia,Armenia,2,1,Friendly,Slovenia,2,-2,1741,1454
2024-06-04,Romania,Bulgaria,0,0,Friendly,Romania,-7,7,1657,1480
2024-06-04,Portugal,Finland,4,2,Friendly,Portugal,2,-2,2014,1621
2024-06-04,Italy,Turkey,0,0,Friendly,Italy,-7,7,1948,1757
